"id","first_name","last_name","team","position","photo"
45,"Dragan","Bender","Suns","F","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4011991.png&w=350&h=254"
46,"Anthony","Bennett","Nets","PF",NULL
47,"Ben","Bentil","Mavericks","PF",NULL
48,"Davis","Bertans","Spurs","F","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6426.png&w=350&h=254"
49,"Patrick","Beverley","Rockets","PG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3964.png&w=350&h=254"
50,"Bismack","Biyombo","Magic","C",NULL
51,"Nemanja","Bjelica","Timberwolves","PF",NULL
52,"Tarik","Black","Lakers","C","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2528393.png&w=350&h=254"
53,"Eric","Bledsoe","Suns","PG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4238.png&w=350&h=254"
54,"Bojan","Bogdanovic","Wizards","SF",NULL
55,"Andrew","Bogut","Cavaliers","C",NULL
56,"Joel","Bolomboy","Jazz","F",NULL
57,"Devin","Booker","Suns","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3136193.png&w=350&h=254"
58,"Trevor","Booker","Nets","PF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4270.png&w=350&h=254"
59,"Chris","Bosh","Heat","PF",NULL
60,"Avery","Bradley","Celtics","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4240.png&w=350&h=254"
61,"Corey","Brewer","Lakers","SF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3191.png&w=350&h=254"
62,"Malcolm","Brogdon","Bucks","G","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2566769.png&w=350&h=254"
63,"Aaron","Brooks","Pacers","PG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3192.png&w=350&h=254"
64,"Anthony","Brown","Magic","SF",NULL
65,"Bobby","Brown","Rockets","G","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3472.png&w=350&h=254"
66,"Jaylen","Brown","Celtics","SF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3917376.png&w=350&h=254"
67,"Nicolas","Brussino","Mavericks","F","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3929314.png&w=350&h=254"
68,"Kobe","Bryant","Lakers","SF",NULL
69,"Reggie","Bullock","Pistons","SF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2528779.png&w=350&h=254"
70,"Trey","Burke","Wizards","PG",NULL
71,"Alec","Burks","Jazz","SG",NULL
72,"Caron","Butler","Kings","SF",NULL
73,"Jimmy","Butler","Bulls","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6430.png&w=350&h=254"
74,"Bruno","Caboclo","Raptors","SF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3113297.png&w=350&h=254"
75,"Jose","Calderon","Hawks","PG",NULL
76,"Kentavious","Caldwell-Pope","Pistons","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2581018.png&w=350&h=254"
77,"Isaiah","Canaan","Bulls","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2490589.png&w=350&h=254"
78,"Clint","Capela","Rockets","C","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3102529.png&w=350&h=254"
79,"DeMarre","Carroll","Raptors","SF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3970.png&w=350&h=254"
80,"Vince","Carter","Grizzlies","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/136.png&w=350&h=254"
81,"Michael","Carter-Williams","Bulls","PG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2596108.png&w=350&h=254"
82,"Omri","Casspi","Timberwolves","SF",NULL
83,"Willie","Cauley-Stein","Kings","C","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2991282.png&w=350&h=254"
84,"Tyson","Chandler","Suns","C","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/984.png&w=350&h=254"
85,"Wilson","Chandler","Nuggets","F",NULL
86,"Marquese","Chriss","Suns","F","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3907487.png&w=350&h=254"
87,"Rakeem","Christmas","Pacers","PF","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2596110.png&w=350&h=254"
88,"Semaj","Christon","Thunder","G",NULL
89,"Ian","Clark","Warriors","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2489785.png&w=350&h=254"
90,"Jordan","Clarkson","Lakers","SG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2528426.png&w=350&h=254"
91,"Norris","Cole","Thunder","PG",NULL
92,"Darren","Collison","Kings","PG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3973.png&w=350&h=254"
93,"Nick","Collison","Thunder","PF",NULL
94,"Mike","Conley","Grizzlies","PG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3195.png&w=350&h=254"
95,"Pat","Connaughton","Trail Blazers","SG",NULL
96,"Quinn","Cook","Pelicans","PG","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2566745.png&w=350&h=254"
97,"DeMarcus","Cousins","Pelicans","C","http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4258.png&w=350&h=254"
